Date,Rate,High (est),Low (est)
2002-05-13,244.104,246.8,241.44
2002-05-14,244.191,247.22,241.2
2002-05-15,244.091,0.0,0.0
2002-05-16,244.292,247.13,241.48
2002-05-17,245.296,0.0,0.0
2002-05-20,245.932,249.0,242.9
2002-05-21,244.59,247.53,241.69
2002-05-22,243.006,0.0,0.0
2002-05-23,242.492,0.0,0.0
2002-05-24,242.731,245.42,240.07
2002-05-27,242.681,245.45,239.94
2002-05-28,242.936,0.0,0.0
2002-05-29,243.423,246.32,240.56
2002-05-30,243.162,0.0,0.0
2002-05-31,242.514,245.28,239.78
2002-06-03,242.211,0.0,0.0
2002-06-04,242.366,0.0,0.0
2002-06-05,241.711,0.0,0.0
2002-06-06,241.378,244.22,238.57
2002-06-07,241.678,0.0,0.0
2002-06-10,241.518,244.2,238.87
2002-06-11,241.224,243.98,238.5
2002-06-12,241.359,0.0,0.0
2002-06-13,241.588,0.0,0.0
2002-06-14,242.029,244.79,239.29
2002-06-17,242.253,244.92,239.62
2002-06-18,242.474,0.0,0.0
2002-06-19,242.946,245.82,240.11
2002-06-20,243.466,246.35,240.61
2002-06-21,244.186,247.02,241.39
